event,classification,gender,world_record,world_record_display,paralympics_gold,paralympics_bronze,paralympics_8th_place,paralympics_semi_qualifying,paralympics_heat_qualifying,wc_gold,wc_bronze,wc_8th_place,wc_semi_qualifying,wc_heat_qualifying,asian_gold,asian_bronze,asian_8th_place,saudi_best,saudi_best_athlete,saudi_world_rank,gap_to_para_gold,gap_to_para_bronze,gap_to_para_8th,gap_to_world_record,yearly_trend,total_results
Javelin Throw,F38,M,,,,51.97,35.71,,,58.845,52.355000000000004,,,,,,,,,,,,,,-1.0599999999999987,18
Javelin Throw,F64,M,,,,,,,,,,47.24,,,,,,,,,,,,,-1.0700000000000003,4
Javelin Throw,F43,M,,,,,,,,,,,,,,,,,,,,,,,1.5350000000000001,3
Javelin Throw,F13,M,,,65.69,,,,,66.96,62.3,,,,,,,,,,,,,,-0.7050000000000001,10
Discus Throw,F57,M,,,,,,,,45.584999999999994,42.735,38.7,,,,,,40.36,Haidr Salamh,,,,,,0.6600000000000001,21
Discus Throw,F55,M,,,,,,,,,,20.58,,,,,,19.98,Mohammed Muhawish,,,,,,0.19500000000000028,8
Discus Throw,F37,M,,,57.28,52.54,48.58,,,55.35,52.46,45.725,,,,,,34.43,Mutaz Saud,,-22.85,-18.11,-14.149999999999999,,0.7400000000000002,33
Discus Throw,F54,M,,,46.86,41.32,,,,45.14,39.82,27.05,,,,,,13.1,Saleh Alanazi,,-33.76,-28.22,,,-0.11000000000000032,16
Discus Throw,F56,M,,,46.86,41.32,,,,45.405,39.894999999999996,,,,,,,33.84,Haidr Salamh,,-13.019999999999996,-7.479999999999997,,,-0.2549999999999999,14
Discus Throw,F51,M,,,,19.48,12.28,,,20.72,16.32,,,,,,,9.51,Radhi Alharthi,,,-9.97,-2.7699999999999996,,-0.28000000000000025,11
Discus Throw,F44,M,,,,,50.09,,,60.26,52.42,46.14,,,,,,,,,,,,,-0.015000000000000568,10
Discus Throw,F11,M,,,41.92,39.6,,,,42.76,37.82,32.26,,,,,,28.99,Ziyad Alkhurayb,,-12.930000000000003,-10.610000000000003,,,-0.03500000000000014,15
Discus Throw,F52,M,,,27.06,19.48,,,,20.02,17.205,11.49,,,,,,3.44,Abdulrahman Aldhaban,,-23.619999999999997,-16.04,,,0.21499999999999986,21
Discus Throw,F64,M,,,,,,,,55.12,46.23,,,,,,,,,,,,,,-1.0700000000000003,10
Discus Throw,F43,M,,,,,50.09,,,,,,,,,,,,,,,,,,1.5350000000000001,8
Club Throw,F32,M,,,40.33,38.61,32.91,,,23.315,34.82,28.005,,,,,,21.87,Ali Alsaqer,,-18.459999999999997,-16.74,-11.039999999999996,,0.75,28
Club Throw,F51,M,,,34.92,34.18,29.3,,,32.28,31.155,26.525,,,,,,25.5,Radhi Alharthi,,-9.420000000000002,-8.68,-3.8000000000000007,,-0.28000000000000025,28
